sentence,offsets,correction,old_type,new_type,comment
"It starts already in the morning that we wake up by the sound of an alarm clock , than in the bathroom we have running hot water and also the hole house is warm due to central heating .
",6 7,,R:OTHER,,
"It starts already in the morning that we wake up by the sound of an alarm clock , than in the bathroom we have running hot water and also the hole house is warm due to central heating .
",18 19,,R:OTHER,,
"It starts already in the morning that we wake up by the sound of an alarm clock , than in the bathroom we have running hot water and also the hole house is warm due to central heating .
",30 31,,R:OTHER,,
"If we than want to go to work we do n't have to get our horse , no , we get the car keys and go where ever we want to .
",2 3,,R:OTHER,,
"Another point which caused some inconveniences was the timetable of the show .
",8 12,,R:OTHER,,
"My fear turned out to be right .
",6 7,,R:OTHER,,
"She knew that I had bought my first bra without having asked her for advice before it .
",15 16,,R:OTHER,,
"We asked for it and we were told that there was not discount neither for her not for anyone else , so I had to pay the full price of the two tickets .
",11 12,,R:OTHER,,
"We asked for it and we were told that there was not discount neither for her not for anyone else , so I had to pay the full price of the two tickets .
",13 14,,R:OTHER,,
"We asked for it and we were told that there was not discount neither for her not for anyone else , so I had to pay the full price of the two tickets .
",17 18,,R:OTHER,,
"Furthermore , it was announced to start at 19.30 p.m. and it started at 20.15 p.m. for reasons anyone would explain to the audience .
",18 19,,R:OTHER,,
"After the play , we went to the theatre 's restaurant and we found out that it was closed since 1999 's spring !
",20 23,,R:OTHER,,
"Of course , Ann promised not to tell anyone , but by the lunch - break all the school knew that Lise had stolen the literature exams .
",14 16,,R:OTHER,,
"It was an unfair deal , but if they wanted the questions they had to accept , and if they accepted , they could n't tell anything to the teachers , because , in fact , they were as guilty as Lise .
",26 30,,R:OTHER,,
"I hope you 'll attend my suggestions .
",4 5,,R:OTHER,,
"Once upon a time , in a small Catalan village , there was a little boy who loved cheating and making jokes .
",18 19,,R:OTHER,,
"He did it more times , and at last nobody cared of the shoutings .
",7 9,,R:OTHER,,
"He did it more times , and at last nobody cared of the shoutings .
",10 11,,R:OTHER,,
"Then he learned to say always the truth .
",3 6,,R:OTHER,,
"Secondly , I would prefer living in tents , I always admire outdoors life .
",10 12,,R:OTHER,,
"Finally , I would like to surging and golf .
",6 7,,R:OTHER,,
"Your sincerely
",0 1,,R:OTHER,,
"You are working with your idea woman , I ca n't still belive that I spoke with her .
",5 6,,R:OTHER,,
"Now , I know how difficult to sing in front of the audience and behind the start there are a lot of the people who help the performance .
",6 6,,M:OTHER,,
"This is just one months which I 've fee .
",8 9,,R:OTHER,,
"I can sleep in tent , it would remain me a good time which I 'd spent with my friends a few years ago . I 'm not scared of darkness , rain , cold or hot whether .
",37 38,,R:OTHER,,
"In swimming I 'm not as good as in basketball , but I 'd like to practise more and maybe learn something new about it .
",0 7,,R:OTHER,,
"In swimming I 'm not as good as in basketball , but I 'd like to practise more and maybe learn something new about it .
",8 8,,M:OTHER,,
"I would like to ask you , what sort of clothes shall I take with me ? I do n't want take too much ; jeans , jumper , swimming costium , T - shirt , sports shoes I think should b O.K.
",41 42,,R:OTHER,,
"Know , I can just wait for July
",0 1,,R:OTHER,,
"Every - thing was O.K
",0 3,,R:OTHER,,
"According to your letter I have two options of accommodation , or in tents or log cabins .
",8 9,,R:OTHER,,
"According to your letter I have two options of accommodation , or in tents or log cabins .
",11 12,,R:OTHER,,
"I would prefer in tents because I think that is something more exciting and new for me .
",3 4,,R:OTHER,,
"The reason of choosing this two activities is that they contrast itselves , I want one more exciting and that asks for more agility and another more calm and relaxing , that asks only for my ability to paint .
",11 12,,R:OTHER,,
"The reason of choosing this two activities is that they contrast itselves , I want one more exciting and that asks for more agility and another more calm and relaxing , that asks only for my ability to paint .
",16 16,,M:OTHER,,
"The reason of choosing this two activities is that they contrast itselves , I want one more exciting and that asks for more agility and another more calm and relaxing , that asks only for my ability to paint .
",26 26,,M:OTHER,,
"Painting is something that I love and I am very good doing it .
",11 12,,R:OTHER,,
"Is all the travel already paid including food and meals , or I have to bring some money ?
",1 2,,R:OTHER,,
"Your faithfully ,
",0 1,,R:OTHER,,
"You can not imagine how dissapointed I were with my ownself .
",9 11,,R:OTHER,,
"He was helping to put the materials of the concerts ( microphone ... ) on the stage .
",6 10,,R:OTHER,,
"By my side the vocal of the Almendegos was and he touched my arm .
",0 9,,R:OTHER,,
"After all of this we saw the show in the best place , near of the stage and after , the thing that I most liked , we were convidated to see the group and had their signatures .
",18 19,,R:OTHER,,
"Note says that tickets has discounts available , but I bought my ticket and your people told me that there is not any discount for thicket .
",3 7,,R:OTHER,,
"Note says that tickets has discounts available , but I bought my ticket and your people told me that there is not any discount for thicket .
",21 23,,R:OTHER,,
"I was really hungry and I went to other restaurant as soon as I can .
",8 9,,R:OTHER,,
"I was really disappointed about your threat and service , I hope I can get my money back and you can improve it . Than you for reading .
",24 25,,R:OTHER,,
"Science and technology can give us a better live style or better food .
",8 10,,R:OTHER,,
"For example , before people have to walk from a place to the other , but now we can use sciene and technology to produce a lot of petrel transport and we can transport with them faster .
",3 4,,R:OTHER,,
"For example , before people have to walk from a place to the other , but now we can use sciene and technology to produce a lot of petrel transport and we can transport with them faster .
",9 10,,R:OTHER,,
"For example , before people have to walk from a place to the other , but now we can use sciene and technology to produce a lot of petrel transport and we can transport with them faster .
",12 14,,R:OTHER,,
"For example , before people have to walk from a place to the other , but now we can use sciene and technology to produce a lot of petrel transport and we can transport with them faster .
",28 29,,R:OTHER,,
"We also can produce more and better food or using science and technology . e.g. use science to put all the good part of two plants into one plant .
",8 9,,R:OTHER,,
"Science and technology can also used for some material e.g. steel or iron , which use for our building , it can make it stronger and not easy to destroy .
",6 7,,R:OTHER,,
"Science and technology can also used for some material e.g. steel or iron , which use for our building , it can make it stronger and not easy to destroy .
",19 21,,R:OTHER,,
"Science and technology can also used for some material e.g. steel or iron , which use for our building , it can make it stronger and not easy to destroy .
",26 28,,R:OTHER,,
"Science and technology can give us a lot of good thing for our daily life , make us easy to do thing or work .
",16 19,,R:OTHER,,
"I will explain these now and want to ask to get some of the money I have given you back .
",11 20,,R:OTHER,,
"The musical show was going to start at 19.30 , but it started t 20:15 .
",13 14,,R:OTHER,,
"We have waited for 45 minutes getting bored for it to start !
",4 12,,R:OTHER,,
"They said that the time was late and they wanted to go home .
",3 5,,R:OTHER,,
"I do n't see it in a normal day , but when I sit and think , its everywhere !
",17 18,,R:OTHER,,
"It 's not a good example for modern technology , but it 's a piece of technology at last !
",18 19,,R:OTHER,,
"You can reach them whenever you want !
",3 4,,R:OTHER,,
"On the other hand , it usually take much time to get what you exactly want .
",8 9,,R:OTHER,,
"It even varys with people whom you shop with .
",3 4,,R:OTHER,,
"Then , I not only had to wait 45 minutes more than it was expected for the beginning of the show but I realised that the main actor had been replaced by another one ( very bad ) as well .
",12 14,,U:OTHER,,
"Therefore , I have more spare time to enjoy the one I consider as the most important influence technology had in my life : the computer and Internet .
",13 14,,R:OTHER,,
"Now , I will never say again that I do n't know where can I find some information about this or that and when on holidays or every time I make a new friend , I just ask for the email and that 's enough to know we will know about each other soon .
",40 41,,R:OTHER,,
"I am writing in the name of the whole class .
",3 6,,R:OTHER,,
"First of al , I want to thank you for the interesting programme , which you already have organised .
",2 3,,R:OTHER,,
"There we can see everything about the latest fashions , leisure and sports wear , make up and hairstyles .
",2 3,,R:OTHER,,
"There we can see everything about the latest fashions , leisure and sports wear , make up and hairstyles .
",5 6,,R:OTHER,,
"The entrance for student is free .
",0 2,,R:OTHER,,
"in the future it could be that you do n't have to prepare your breakfast by your own , perhaps you just have to press a button when your alarm clock has gone .
",4 6,,R:OTHER,,
"in the future it could be that you do n't have to prepare your breakfast by your own , perhaps you just have to press a button when your alarm clock has gone .
",16 17,,R:OTHER,,
"In addition to this you may have some roboters bringing the newspaper at the table , tidying up the house , doing the shopping and maybe they are also your living patners .
",27 29,,R:OTHER,,
"I am really appreciated to hear that I have won first prize in the competition - two weeks at Camp California in the U.S.A. I am writing this letter to inform you more information about myself .
",3 4,,R:OTHER,,
"I would prefer the accommodation at Camp California in tents because it would be nice to spend the time living in tents with a nice environment and fresh air .
",3 5,,R:OTHER,,
"Photography is quite interesting for me to take a photograph in the place where I have never been to .
",6 6,,M:OTHER,,
"Anyway , I would like to know that how many people are joining at this Camp .
",12 14,,R:OTHER,,
"I and my friend - Emma , we helped to paint the scence of the background on the stage .
",13 16,,U:OTHER,,
"As you known , I like drawing and painting when I have a free time so that why I chose to paint the scence of the background .
",24 27,,U:OTHER,,
"And I particularly liked the experience that I helped to screen and paint a picture of "" Bon Jovi "" on every T - shirts which are given to the audiences .
",6 8,,R:OTHER,,
"If you are , I 'll tell you in advance .
",8 8,,M:OTHER,,
"Because I 'm big fan of them , if was pretty much boring without them and not to mention that it was disappointing .
",8 9,,R:OTHER,,
"Moreover the testament was till under the construction so that we could n't use it when we were extlemely hungry .
",4 5,,R:OTHER,,
"People have invented such things like TV , radio , telephones and so on which made us enable to hear the news quickly and stay in touch with people easily .
",17 18,,R:OTHER,,
